Ngày đăng,Năm SX,Xuất xứ,Địa điểm,Kiểu dáng,Số km đã đi,Hộp số,Tình trạng,Nhiên liệu,Giá
2025-10-14,-0.39241946671959727,Đang cập nhật,"Phường Phúc Đồng, Quận Long Biên, Hà Nội",SUV / Cross over,0.21636714390343795,Tự động,Đã sử dụng,Xăng,0.3302679819282927
2025-10-14,0.18481559744397047,Việt Nam,"Phường Kim Giang, Quận Thanh Xuân, Hà Nội",SUV / Cross over,0.287495106396563,Tự động,Đã sử dụng,Xăng,0.07302403629655016
2025-10-14,0.5696389735530156,Việt Nam,"Phường Long Biên, Quận Long Biên, Hà Nội",SUV / Cross over,-0.12149067793890603,Tự động,Đã sử dụng,Dầu,0.9197853573343695
2025-10-14,-0.2000077786650747,Nước khác,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",SUV / Cross over,0.6609169094854696,Tự động,Đã sử dụng,Xăng,0.14376612134527936
2025-10-14,0.37722728549849305,Việt Nam,"Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Hatchback,-0.5838224341442189,Tự động,Đã sử dụng,Xăng,-0.6901330024109528
2025-10-14,-0.007596090610552121,Thái Lan,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Pick-up (bán tải),0.46531501262937564,Số sàn,Đã sử dụng,Dầu,-0.4200268594976231
2025-10-14,0.18481559744397047,Đang cập nhật,", Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",SUV / Cross over,0.2341491345267192,Tự động,Đã sử dụng,Dầu,0.5017639456827878
2025-10-14,0.18481559744397047,Việt Nam,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Sedan,0.3408410782664068,Tự động,Đã sử dụng,Xăng,-0.5379303345788384
2025-10-14,-1.931712971155778,Nhật Bản,"Xã Đông Hội, Huyện Đông Anh, Hà Nội",Sedan,0.40542526821016434,Tự động,Đã sử dụng,Xăng,-0.805892777945237
2025-10-14,0.5696389735530156,Việt Nam,"Phường Kim Giang, Quận Thanh Xuân, Hà Nội",SUV / Cross over,0.18080316265687543,Tự động,Đã sử dụng,Xăng,-0.17350141160053648
2025-10-14,0.7620506616075382,Thái Lan,"Phường Long Biên, Quận Long Biên, Hà Nội",Hatchback,-0.3704385466648437,Tự động,Đã sử dụng,Xăng,-0.3771528685589993
2025-10-14,0.37722728549849305,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,0.09189320954046912,Số sàn,Đã sử dụng,Xăng,-0.7523002892719572
2025-10-14,-2.1241246592103007,Nhật Bản,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",SUV / Cross over,1.7634003281289077,Tự động,Đã sử dụng,Xăng,0.10517952950051798
2025-10-14,-0.7772428428286424,Việt Nam,"Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",Hatchback,-0.8149883122468753,Tự động,Đã sử dụng,Xăng,-0.8380482711492048
2025-10-14,-0.2000077786650747,Việt Nam,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",SUV / Cross over,0.5186609844992194,Tự động,Đã sử dụng,Xăng,-0.2399560975554033
2025-10-14,-0.007596090610552121,Đang cập nhật,"Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",SUV / Cross over,0.08835459340643614,Tự động,Đã sử dụng,Xăng,-0.475763047717834
2025-10-14,0.9544623496620608,Việt Nam,"Phường Long Biên, Quận Long Biên, Hà Nội",SUV / Cross over,-0.3170925747949999,Tự động,Đã sử dụng,Dầu,1.667936499213354
2025-10-14,-2.7013597233738684,Việt Nam,"Số Nhà 92 Mặt Phố QL 23B, Xã Nam Hồng, Huyện Đông Anh, Hà Nội",SUV / Cross over,-0.9572442372331254,Bán tự động,Đã sử dụng,Xăng,-1.0631367235769795
2025-10-14,0.18481559744397047,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,0.6609169094854696,Tự động,Đã sử dụng,Xăng,-0.28497378804095824
2025-10-14,-0.5848311547741198,Đang cập nhật,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Unknown,1.1943766281839074,Tự động,Đã sử dụng,Xăng,-0.2914048866817518
2025-10-14,-1.931712971155778,Việt Nam,"Phường Việt Hưng, Quận Long Biên, Hà Nội",Sedan,1.0165567219510947,Tự động,Đã sử dụng,Xăng,-0.6879893028640216
2025-10-14,0.7620506616075382,Việt Nam,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Sedan,-0.12149067793890603,Tự động,Đã sử dụng,Xăng,-0.3900150658405865
2025-10-14,0.7620506616075382,Nước khác,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",SUV / Cross over,0.09189320954046912,Số sàn,Đã sử dụng,Xăng,-0.49505634364021467
2025-10-14,-0.007596090610552121,Việt Nam,"Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Minivan (MPV),0.48309700325265686,Tự động,Đã sử dụng,Xăng,-0.11990892292725677
2025-10-14,0.18481559744397047,Việt Nam,"Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Hatchback,0.14523918141031292,Tự động,Đã sử dụng,Xăng,-0.6987078005986775
2025-10-14,-1.1620662189376876,Đức,"Phường Long Biên, Quận Long Biên, Hà Nội",SUV / Cross over,1.0165567219510947,Tự động,Đã sử dụng,Xăng,-0.46290085043624685
2025-10-14,1.339285725771106,Thái Lan,"Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",SUV / Cross over,-1.092387365970063,Tự động,Đã sử dụng,Dầu,2.1631310945544584
2025-10-14,0.7620506616075382,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,-0.44156650915796875,Tự động,Đã sử dụng,Xăng,-0.41359576085682953
2025-10-14,-0.7772428428286424,Đức,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",SUV / Cross over,0.6609169094854696,Tự động,Đã sử dụng,Xăng,-0.17350141160053648
2025-10-14,0.9544623496620608,Việt Nam,"Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",Sedan,2.0834761593479705,Số sàn,Đã sử dụng,Xăng,-1.1060107145156033
2025-10-14,0.9544623496620608,Thái Lan,"Phường Việt Hưng, Quận Long Biên, Hà Nội",Pick-up (bán tải),-0.40600252791140623,Tự động,Đã sử dụng,Dầu,1.0591258278848967
2025-10-14,-1.5468895950467327,Nhật Bản,"Thị trấn Sóc Sơn, Huyện Sóc Sơn, Hà Nội",Sedan,0.8387368157182821,Tự động,Đã sử dụng,Xăng,-0.7351506928965078
2025-10-14,-0.5848311547741198,Thái Lan,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Hatchback,0.6609169094854696,Tự động,Đã sử dụng,Xăng,-0.5486488323134944
2025-10-14,-0.007596090610552121,Thái Lan,"Long biên long biên ha nội, Phường Long Biên, Quận Long Biên, Hà Nội",Sedan,4.2173150341417225,Số sàn,Đã sử dụng,Xăng,-0.9495206475896266
2025-10-14,0.9544623496620608,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",SUV / Cross over,-0.44156650915796875,Tự động,Đã sử dụng,Điện,0.3517049773976046
2025-10-14,0.18481559744397047,Việt Nam,"Phường Việt Hưng, Quận Long Biên, Hà Nội",Sedan,0.9276467688346884,Tự động,Đã sử dụng,Xăng,-0.33427887762037556
